,Year,intersection
0,2011.0,0.0
1,2012.0,2.0
2,2013.0,0.0
3,2014.0,8.0
4,2015.0,8.0
5,2016.0,3.0
6,2017.0,10.0
7,2018.0,24.0
8,2019.0,24.0
9,2020.0,50.0
10,2021.0,123.0
11,2022.0,138.0
12,2023.0,340.0
